ID,Name,url,addr,Longitude,Latitude,gisx,gisy,Tel,OpenTime
steak2,饗厚牛排,http://www.joyful-steak.com.tw/,新北市新莊區中正路488號,121.437345,25.033185,,,02 2901 4990,AM11:00 ~ PM10:00
steak3,傳品牛排,https://www.facebook.com/chwanpiinsteak/,新北市新莊區福營路79號,121.435084,25.03233,,,02 2902 5788,AM11:30 ~ PM10:00
Skewer1,新莊-d.n.a串燒-bar,https://www.facebook.com/pg/DNABBQBAR/about/,新北市新莊區建國一路69號,121.434906,25.029727,,,02 2907 6862,PM6:00~AM3:00
Skewer2,柒串燒屋,https://www.facebook.com/Kebab.House.shop.at.Fu.Qi/,新北市新莊區中正路516-32號,121.432792,25.032343,,,02 2902 1770,PM5:00~AM2:00
Skewer3,鷹串燒,https://www.facebook.com/takayaki197,新北市新莊區福營路121號,121.433119,25.031853,,,02 2908 7077,PM6:00~AM1:00/週二公休
dessert1,興德屏東夜市豆花,,新北市新莊區中正路514巷61號,121.43162,25.033786,,,02-29012439,11:00~23:00
dessert2,木匠手作,http://www.3-kagoshima.com/,新北市新莊區中正路577號,121.434598,25.032415,,,02-29019193,10:00-22:00
dessert3,林口忠孝米苔目新莊直營店,,新北市新莊區福營路193號,121.431304,25.030559,,,0976-784-646,10:00~18:00(每年4~6月左右，周一至周六)
dessert4,爆漿雞蛋糕,https://www.facebook.com/Love20150502/,新北市新莊區和興街1號,121.447443,25.03885,,,0952-762-332, 13:00–20:00
dessert5,阿桂古早味甜湯,https://www.facebook.com/agui0927300219/,新北市新莊區建福路72號,121.426698,25.026778,,,0927-300-219、02-22023902,15:00 - 0:00
dessert6,雙喜饅頭,https://www.kiwi15888.com/,新北市新莊區後港一路76巷14弄4號,121.427217,25.025646,,,02-22081888,週一～週六 9:00~19:00 (國定假日公休)
dessert7,公園一路粉條冰,,新北市新莊區公園一路126號,121.445782,25.038001,,,0918-822-703,10：00～賣完為止
dessert8,豆味行甜不辣.豆花.九份芋圓(新莊店),https://www.facebook.com/豆味行-新莊分店-1608941496021708/,新北市新莊區新泰路156號,121.447665,25.037442,,,02-29970769,11:30~22:30
dessert9,淼淼特調手搖飲 ,https://www.facebook.com/%E6%B7%BC%E6%B7%BC%E7%89%B9%E8%AA%BF%E9%A3%B2-848137868672096/,新北市新莊區公園路28號,121.448639,25.039129,,,02-22765288,11:00-22:00
dessert10,阿伯豆花,,新北市新莊區中平路88號,121.444788,25.044872,,,,17:30~22:30(周三公休)
dessert11,阿莫豆花,,新北市新莊區新莊路228號,121.452619,25.034348,,,02-29927278,週一 - 週日：13:00 - 23:00
dessert12,古早味鹹圓仔湯,,新北市新莊區新莊路317號,121.452789,25.034268,,,,早上11:00~22:30
cafe1,工寓咖啡 ,,新北市新莊區中正路593號2樓,121.43291,25.032,,,02-29082308,12:00-22:00
cafe2,琳咖啡,https://www.facebook.com/%E7%90%B3%E5%92%96%E5%95%A1-266140186841942/,新北市新莊區建興街41巷2號,121.449943,25.037314,,,02-89921236, 12:00–22:00
cafe3,Peter Better Cafe (PB Cafe),https://www.facebook.com/peterbettercafe/,新北市新莊區新泰路109號,121.448841,25.035075,,,02-22013699, 08:00–22:00
cafe4,門廊咖啡,https://www.facebook.com/NewTaipeiPorchCafe,新北市新莊區中正路514巷33弄10號,121.431777,25.032745,,,02-29011297,12:00–21:30
cafe5,好食紀,https://www.facebook.com/goodfoodmemory/,新北市新莊區中興街14號,121.449603,25.036269,,,02-29920630,週二 ~ 週日  11:00 am ~ 21:00 pm
cafe6,混日子咖啡館,https://www.facebook.com/FRoomCafe/,新北市新莊區中和街155巷24弄18號,121.446691,25.050298,,,02-22775558,平日11:00-21:30、週末10:00-21:30
brunch1,豐滿早午餐新莊店,https://www.facebook.com/foodman.mars/,新北市新莊區建中街40號,121.448707,25.037584,,,0903-601-815,週一到周日 08:00-17:00(供餐至16:30)
brunch2,地平線1號 Horizon No.1,https://www.facebook.com/HorizonNo1,新北市新莊區八德街152號,121.423537,25.020053,,,02-22026983,11:00~22:00
brunch3,曲尼的公園picnic,https://www.facebook.com/picnic.food.drinks/,新北市新莊區中華路一段236號2樓,121.452736,25.043331,,,02-29960086,周一、周三~周日 8:00~18:00
brunch4,荷亞輕食館,https://www.facebook.com/%E8%8D%B7%E4%BA%9E%E8%BC%95%E9%A3%9F%E9%A4%A8%E8%BC%94%E5%A4%A7%E5%BA%97Hey-Yall-Diner-1719259995017587/,新北市新莊區中正路603號,121.432732,25.031873,,,02-29069991,9:00 - 21:00
brunch5,CHA CHA gelato茶茶吉拉朵,https://www.facebook.com/CHACHAGELATO/,新北市新莊區中正路514巷55號,121.431848,25.03365,,,02-29061217,11:30-19:00（會視當天情況延遲關店）
brunch6,惹堡The Burger,https://www.facebook.com/theburger514,新北市新莊區中正路514巷43號,121.432299,25.033329,,,02-29015787,11:00 - 21:00
afternoon1,敲我Ciao.O烘焙工作室,https://www.facebook.com/CiaoCiaoO620,新北市新莊區明中街36號,121.457027,25.039636,,,02-22773203,12:00 - 21:30 (星期一公休)
afternoon2,豐滿總匯三明治 ,https://www.facebook.com/foodmanbrunch/,新北市新莊區後港一路39號,121.425534,25.026243,,,02-22047433,週一~週日 : 8:00~17:00
afternoon3,Coobi Cafe 鄉村果焙,https://www.facebook.com/CoobiCafeXiangCunGuoBei,新北市新莊區中正路514巷41號,121.432346,25.033289,,,02-29018582,週一~週五:11:30-21:00 週六~週日:11:30-20:30
japan1,柒串燒屋,https://www.facebook.com/Kebab.House.shop.at.Fu.Qi/,新北市新莊區中正路516-32號,121.4314197,25.0322488,,,(02)2902-1770,17:00~02:00
japan2,鷹串燒,https://www.facebook.com/takayaki197,新北市新莊區福營路121號,121.4297843,25.0305418,,,(02)2908-7077,18:00-01:00（週二公休）
japan3,青壽司和食,https://www.facebook.com/%E9%9D%92-%E5%A3%BD%E5%8F%B8-680847352033255/,新北市新莊區中正路498號,121.4330259,25.0304938,,,(02)2908-2808,11:30~21:30（週日公休）
japan4,友間拉麵,https://www.facebook.com/youjianramen/,新北市新莊區中港路501號,121.4235368,25.0340131,,,,"11:00-14:30,17:00-21:00(週二、週三公休）"
japan5,築地樂樂町,https://www.facebook.com/lakulakumachi04/?fref=ts,新北市新莊區和興街15號,121.4311483,25.0372942,,,(02)2998-0498,"11:00-14:00,17:30-21:00"
usa1,惹堡The Burger,https://www.facebook.com/theburger514,新北市新莊區中正路514巷43號,121.4325571,25.0327693,,,(02)2901-5787,11:00-21:00
usa2,13th美式餐廳,https://www.facebook.com/13thburger/?ref=page_internal,新北市新莊區建國一路13號,121.4297969,25.0388462,,,(02)2903-5813,11:00-21:00
usa3,嘿堡哥美式火烤漢堡店 HAH Burger,https://www.facebook.com/heyburgerbuzz,新北市新莊區和興街29號,121.4149729,25.0354659,,,(02)8992-9321,11:30-22:00
usa4,兔子兔子美式餐廳,http://www.rabbitrabbit.com.tw/,新北市新莊區新泰路103號,121.4468433,25.0348771,,,(02)2202-3277,10:00-22:00
usa5,345美式複合餐廳,http://345usa.com/,新北市新莊區中正路345號,121.4452613,25.0349654,,,(02)2206-6890,11:00-22:00（週一公休）
seafood1,何記品味豪海鮮餐廳,,新北市新莊區中正路600號,121.4265977,25.0302469,,,(02)2901-8787,"11:00-14:00,17:00-21:00（週二公休"
seafood2,大拇指生猛海鮮,,新北市新莊區後港一路132-136號,121.4284316,25.0281866,,,(02)2205-5849,"11:00-14:00,16:00-01:00"
seafood3,尚介青平價海鮮,,新北市新莊區龍安路480號,121.4145146,25.0266915,,,(02)8201-5320,10:00-02:00
seafood4,金三角生猛海鮮,,新北市新莊區民安路162號,121.4208314,25.0266182,,,(02)2201-9131,17:00-02:30
seafood5,宴生猛活海鮮,,新北市新莊區公園路128號,121.4406641,25.0374283,,,(02)8991-3359,16:00-22:00
seafood6,龜山島現撈海鮮,,新北市新莊區公園路98號,121.4460055,25.0387879,,,(02)8994-4078,16:30-01:00
